DL Lesson	Simplified Chinese	Selected Pinyin	Simple English Definition	Clean CC-CEDICT English definition
Hobbies 1	看	kān	to look after	to look after / to take care of / to watch / to guard || to see / to look at / to read / to watch / to visit / to call on / to consider / to regard as / to look after / to treat (an illness) / to depend on / to feel (that) / (after verb) to give it a try / Watch out! (for a danger)
Hobbies 1	书	shū	book	abbr. for 書經｜书经 || book / letter / document / CL: 本, 冊｜册, 部 / to write
Hobbies 1	喜	xǐ	to like	to be fond of / to like / to enjoy / to be happy / to feel pleased / happiness / delight / glad
Hobbies 1	欢	huān	joyous	joyous / happy / pleased || hubbub / clamor / variant of 歡｜欢 || a breed of horse / variant of 歡｜欢
Hobbies 1	玩	wán	to play	to play / to have fun / to trifle with / toy / sth used for amusement / curio or antique (Taiwan pr. [wan4]) / to keep sth for entertainment
Hobbies 1	电脑	diàn nǎo	computer	computer / CL: 臺｜台
Hobbies 1	游戏	yóu xì	game	game / CL: 場｜场 / to play
Hobbies 1	脑	nǎo	brain	brain / mind / head / essence
Hobbies 1	游	yóu	swimt	surname You || to swim / variant of 遊｜游 || to walk / to tour / to roam / to travel
Hobbies 1	戏	xì	trick	trick / drama / play / show / CL: 出, 場｜场, 臺｜台
Hobbies 1	听	yǐn	to listen	smile (archaic) || to listen / to hear / to obey / a can (loanword from English 'tin') / classifier for canned beverages || (literary pronunciation, still advocated in Taiwan) to rule / to sentence / to allow
Hobbies 1	音乐	yīn yuè	music	music / CL: 張｜张, 曲, 段
Hobbies 1	歌	gē	song	song / CL: 支, 首 / to sing
Hobbies 1	音	yīn	sound	sound / noise / note (of musical scale) / tone / news / syllable / reading (phonetic value of a character)
Hobbies 1	乐	lè	happy	surname Le || surname Yue || happy / cheerful / to laugh || music
Hobbies 1	跳舞	tiào wǔ	to dance	to dance
Hobbies 1	唱	chàng	to sing	to sing / to call loudly / to chant
Hobbies 1	跳	tiào	to jump	to jump / to hop / to skip over / to bounce / to palpitate
Hobbies 1	舞	wǔ	to dance	to dance / to wield / to brandish
Daily Routine 1	起床	qǐ chuáng	to get out of bed	to get out of bed / to get up
Daily Routine 1	上学	shàng xué	to go to school	to go to school / to attend school
Daily Routine 1	上班	shàng bān	to go to work	to go to work / to be on duty / to start work / to go to the office
Daily Routine 1	早饭	zǎo fàn	breakfast	breakfast / CL: 份, 頓｜顿, 次, 餐
Daily Routine 1	床	chuáng	bed	bed / couch / classifier for beds / CL: 張｜张
Daily Routine 1	班	bān	class	surname Ban || team / class / squad / work shift / ranking / CL: 個｜个 / classifier for groups
Daily Routine 1	从	cóng	from	surname Cong || from / through / via / to follow / to obey / to engage in (an activity) / never (in negative sentence) / (Taiwan pr. [zong4]) retainer / assistant / accomplice / related by common paternal grandfather or earlier ancestor || second cousin
Daily Routine 1	睡觉	shuì jiào	to go to bed	to go to bed / to sleep
Daily Routine 1	午饭	wǔ fàn	lunch	lunch / CL: 份, 頓｜顿, 次, 餐
Daily Routine 1	睡	shuì	to sleep	to sleep / to lie down
Daily Routine 1	觉	jiào	a nap	a nap / a sleep / CL: 場｜场 || to feel / to find that / thinking / awake / aware
Daily Routine 1	放学	fàng xué	to finish school (for the day)	to dismiss students at the end of the school day
Daily Routine 1	下班	xià bān	to finish work (for the day)	to finish work / to get off work
Daily Routine 1	回	huí	to return	to circle / to go back / to turn around / to answer / to return / to revolve / Hui ethnic group (Chinese Muslims) / time / classifier for acts of a play / section or chapter (of a classic book) || to curve / to return / to revolve
Daily Routine 1	晚饭	wǎn fàn	dinner	evening meal / dinner / supper / CL: 份, 頓｜顿, 次, 餐
Daily Routine 1	放	fàng	to put	to put / to place / to release / to free / to let go / to let out / to set off (fireworks)
Payment	钱	qián	money	surname Qian || coin / money / CL: 筆｜笔 / unit of weight, one tenth of a tael 兩｜两
Payment	块	kuài	a piece of (cloth, cake, soap, money)	lump (of earth) / chunk / piece / classifier for pieces of cloth, cake, soap etc / (coll.) classifier for money and currency units
Payment	只	zhǐ	only	only / merely / just / but || grain that has begun to ripen / variant of 衹｜只 || classifier for birds and certain animals, one of a pair, some utensils, vessels etc
Payment	买	mǎi	to buy	to buy / to purchase
Payment	一共	yī gòng	altogether	altogether
Payment	毛	máo	feather	surname Mao || hair / feather / down / wool / mildew / mold / coarse or semifinished / young / raw / careless / unthinking / nervous / scared / (of currency) to devalue or depreciate / classifier for Chinese fractional monetary unit ( = 角 , = one-tenth of a yuan or 10 fen 分)
Payment	共	gòng	common	common / general / to share / together / total / altogether / abbr. for 共產黨｜共产党, Communist party
Payment	信用卡	xìn yòng kǎ	credit card	credit card
Payment	收	shōu	to receive	to receive / to accept / to collect / to put away / to restrain / to stop / in care of (used on address line after name)
Payment	千	qiān	thousand	thousand || see 鞦韆｜秋千
Payment	信	xìn	letter	letter / mail / CL: 封 / to trust / to believe / to profess faith in / truthful / confidence / trust / at will / at random
Payment	用	yòng	to use	to use / to employ / to have to / to eat or drink / expense or outlay / usefulness / hence / therefore
Payment	卡	kǎ	card	to stop / to block / card / CL: 張｜张, 片 / calorie / cassette / (computing) (coll.) slow || to block / to be stuck / to be wedged / customs station / a clip / a fastener / a checkpost / Taiwan pr. [ka3]
Payment	贵	guì	expensive	expensive / noble / precious / (honorific) your
Payment	便宜	biàn yí	cheap	convenient || cheap / inexpensive / small advantages / to let sb off lightly
Payment	现金	xiàn jīn	cash	cash
Payment	便	biàn	convenient	plain / informal / suitable / convenient / opportune / to urinate or defecate / equivalent to 就: then / in that case / even if / soon afterwards || see 便宜
Payment	宜	yí	proper	surname Yi || proper / should / suitable / appropriate
Payment	金	jīn	gold	surname Jin / surname Kim (Korean) / Jurchen Jin dynasty (1115-1234) || gold / chemical element Au / generic term for lustrous and ductile metals / money / golden / highly respected / one of the eight ancient musical instruments 八音
Payment	太	tài	too (much)	highest / greatest / too (much) / very / extremely
Payment	万	mò	ten thousand	see 万俟 || surname Wan || ten thousand / a great number
Payment	行	xíng	OK!	row / line / commercial firm / line of business / profession / to rank (first, second etc) among one's siblings (by age) / (in data tables) row / (Tw) column || to walk / to go / to travel / a visit / temporary / makeshift / current / in circulation / to do / to perform / capable / competent / effective / all right / OK! / will do / behavior / conduct / Taiwan pr. [xing4] for the behavior-conduct sense
Entertainment	想	xiǎng	to think	to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth)
Entertainment	干	gān	dry	surname Gan || dry / clean / in vain / dried food / foster / adoptive / to ignore || to concern / to interfere / shield / stem || tree trunk / main part of sth / to manage / to work / to do / capable / cadre / to kill (slang) / to fuck (vulgar)
Entertainment	影	yǐng	picture	picture / image / film / movie / photograph / reflection / shadow / trace
Entertainment	视	shì	to look at	to look at / to regard / to inspect
Entertainment	电视	diàn shì	television	television / TV / CL: 臺｜台, 個｜个
Entertainment	电影	diàn yǐng	movie	movie / film / CL: 部, 片, 幕, 場｜场
Entertainment	报纸	bào zhǐ	newspaper	newspaper / newsprint / CL: 份, 期, 張｜张
Entertainment	上网	shàng wǎng	to go online	to go online / to connect to the Internet / (of a document etc) to be uploaded to the Internet / (tennis, volleyball etc) to move in close to the net
Entertainment	报	bào	to announce	to announce / to inform / report / newspaper / recompense / revenge / CL: 份, 張｜张
Entertainment	纸	zhǐ	paper	paper / CL: 張｜张, 沓 / classifier for documents, letter etc
Entertainment	网	wǎng	net	net / network
Entertainment	手机	shǒu jī	cell phone	cell phone / mobile phone / CL: 部, 支
Entertainment	新闻	xīn wén	news	news / CL: 條｜条, 個｜个
Entertainment	机	jī	machine	surname Ji || machine / engine / opportunity / intention / aircraft / pivot / crucial point / flexible (quick-witted) / organic / CL: 臺｜台
Entertainment	新	xīn	new	abbr. for Xinjiang 新疆 or Singapore 新加坡 / surname Xin || new / newly / meso- (chemistry)
Entertainment	闻	wén	to hear	surname Wen || to hear / news / well-known / famous / reputation / fame / to smell / to sniff at
Entertainment	明星	míng xīng	star	star / celebrity
Entertainment	体育	tǐ yù	sports	sports / physical education
Entertainment	节目	jié mù	program	program / item (on a program) / CL: 臺｜台, 個｜个, 套
Entertainment	韩国	hán guó	South Korea (Republic of Korea)	South Korea (Republic of Korea) / Han, one of the Seven Hero States of the Warring States 戰國七雄｜战国七雄 / Korea from the fall of the Joseon dynasty in 1897
Entertainment	体	tǐ	body	body / form / style / system / substance / to experience / aspect (linguistics)
Entertainment	节	jiē	festival	see 節骨眼｜节骨眼 || festival / holiday / node / joint / section / segment / part / to economize / to save / to abridge / moral integrity / classifier for segments, e.g. lessons, train wagons, biblical verses / CL: 個｜个
Entertainment	韩	hán	Korea	Han, one of the Seven Hero States of the Warring States 戰國七雄｜战国七雄 / Korea from the fall of the Joseon dynasty in 1897 / Korea, esp. South Korea 大韓民國｜大韩民国 / surname Han
Entertainment	育	yù	to have children	to have children / to raise or bring up / to educate
Entertainment	目	mù	eye	eye / item / section / list / catalogue / table of contents / order (taxonomy) / goal / name / title
Location 4	桌	zhuō	table	table / desk / classifier for tables of guests at a banquet etc
Location 4	找	zhǎo	to try to find	to try to find / to look for / to call on sb / to find / to seek / to return / to give change
Location 4	桌子	zhuō zi	table	table / desk / CL: 張｜张, 套
Location 4	椅子	yǐ zi	chair	chair / CL: 把, 套
Location 4	椅	yǐ	chair	chair
Location 4	房间	fáng jiān	room	room / CL: 間｜间, 個｜个
Location 4	冰箱	bīng xiāng	refrigerator	icebox / freezer cabinet / refrigerator / CL: 臺｜台, 個｜个
Location 4	外	wài	outside	outside / in addition / foreign / external
Location 4	房	fáng	house	surname Fang || house / room / CL: 間｜间 / branch of an extended family / classifier for family members (or concubines)
Location 4	箱	xiāng	box	box / trunk / chest
Restaurant	位	wèi	classifier for people	position / location / place / seat / classifier for people (honorific) / classifier for binary bits (e.g. 十六位 16-bit or 2 bytes) / (physics) potential
Restaurant	等	děng	to wait for	class / rank / grade / equal to / same as / to wait for / to await / et cetera / and so on / et al. (and other authors) / after / as soon as / once
Restaurant	一下	yī xià	a bit	(used after a verb) give it a go / to do (sth for a bit to give it a try) / one time / once / in a while / all of a sudden / all at once
Restaurant	进	jìn	enter	to go forward / to advance / to go in / to enter / to put in / to submit / to take in / to admit / (math.) base of a number system / classifier for sections in a building or residential compound
Restaurant	坐	zuò	to sit	surname Zuo || to sit / to take a seat / to take (a bus, airplane etc) / to bear fruit / variant of 座
Restaurant	菜单	cài dān	menu	menu / CL: 份, 張｜张
Restaurant	英文	yīng wén	English (language)	English (language)
Restaurant	菜	cài	dish (type of food)	dish (type of food) / vegetable / cuisine / CL: 盤｜盘, 道 / (coll.) (one's) type / (of one's skills etc) weak / poor
Restaurant	单	dān	bill	surname Shan || bill / list / form / single / only / sole / odd number / CL: 個｜个
Restaurant	文	wén	language	surname Wen || language / culture / writing / formal / literary / gentle / (old) classifier for coins / Kangxi radical 67
Restaurant	服务员	fú wù yuán	waiter	waiter / waitress / attendant / customer service personnel / CL: 個｜个, 位
Restaurant	点菜	diǎn cài	to order dishes (in a restaurant)	to order dishes (in a restaurant)
Restaurant	买单	mǎi dān	to pay the restaurant bill	to pay the restaurant bill
Restaurant	订位	dìng wèi	reservation	to reserve a seat / to book a table / reservation
Restaurant	服	fú	clothes	clothes / dress / garment / to serve (in the military, a prison sentence etc) / to obey / to be convinced (by an argument) / to convince / to admire / to acclimatize / to take (medicine) / mourning clothes / to wear mourning clothes || dose (measure word for medicine) / Taiwan pr. [fu2]
Restaurant	务	wù	business	affair / business / matter / to be engaged in / to attend to / by all means
Restaurant	员	yuán	person	person / employee / member
Restaurant	订	dìng	to order	to agree / to conclude / to draw up / to subscribe to (a newspaper etc) / to order
Supermarket	些	xiē	some	some / few / several / measure word indicating a small amount or small number (greater than 1)
Supermarket	西	xī	West	the West / abbr. for Spain 西班牙 / Spanish || west
Supermarket	东	dōng	East	surname Dong || east / host (i.e. sitting on east side of guest) / landlord
Supermarket	东西	dōng xī	thing	east and west || thing / stuff / person / CL: 個｜个, 件
Supermarket	超市	chāo shì	supermarket	supermarket / abbr. for 超級市場｜超级市场 / CL: 家
Supermarket	水果	shuǐ guǒ	fruit	fruit / CL: 個｜个
Supermarket	超	chāo	super	to exceed / to overtake / to surpass / to transcend / to pass / to cross / ultra- / super-
Supermarket	市	shì	market	market / city / CL: 個｜个
Supermarket	果	guǒ	fruit	fruit / result / resolute / indeed / if really
Supermarket	给	gěi	give	to / for / for the benefit of / to give / to allow / to do sth (for sb) / (grammatical equivalent of 被) / (grammatical equivalent of 把) / (sentence intensifier) || to supply / to provide
Supermarket	苹果	píng guǒ	apple	apple / CL: 個｜个, 顆｜颗
Supermarket	西瓜	xī guā	watermelon	watermelon / CL: 顆｜颗, 粒, 個｜个
Supermarket	苹	píng	apple	(artemisia) / duckweed || marsiliaceae / clover fern || apple
Supermarket	瓜	guā	melon	melon / gourd / squash
Supermarket	鸡蛋	jī dàn	(chicken) egg	(chicken) egg / hen's egg / CL: 個｜个, 打
Supermarket	新鲜	xīn xiān	fresh (experience, food etc)	fresh (experience, food etc) / freshness / novel / uncommon
Supermarket	鸡	jī	chicken	fowl / chicken / CL: 隻｜只 / (slang) prostitute
Supermarket	蛋	dàn	egg	egg / CL: 個｜个, 打 / oval-shaped thing
Supermarket	鲜	xiān	fresh	fresh / bright (in color) / delicious / tasty / delicacy / aquatic foods || few / rare || fish / old variant of 鮮｜鲜
Supermarket	蔬菜	shū cài	vegetables	vegetables / produce / CL: 種｜种
Supermarket	蔬	shū	vegetables	vegetables
Supermarket	包	bāo	package	surname Bao || to cover / to wrap / to hold / to include / to take charge of / to contract (to or for) / package / wrapper / container / bag / to hold or embrace / bundle / packet / CL: 個｜个, 隻｜只
Supermarket	米	mǐ	rice (uncooked)	surname Mi || rice / CL: 粒 / meter (classifier)
Supermarket	面包	miàn bāo	bread	bread / CL: 片, 袋, 塊｜块
Supermarket	袋	dài	bag	pouch / bag / sack / pocket
Supermarket	糖	táng	sugar	sugar / sweets / candy / CL: 顆｜颗, 塊｜块
Hobbies 2	为	wéi	for	as (in the capacity of) / to take sth as / to act as / to serve as / to behave as / to become / to be / to do / by (in the passive voice) || because of / for / to
Hobbies 2	习	xí	to practice	surname Xi || to practice / to study / habit
Hobbies 2	学习	xué xí	to learn	to learn / to study
Hobbies 2	中文	zhōng wén	Chinese language	Chinese language
Hobbies 2	为什么	wèi shén me	why?	why? / for what reason?
Hobbies 2	因为	yīn wèi	because	because / owing to / on account of
Hobbies 2	所以	suǒ yǐ	so	therefore / as a result / so / the reason why
Hobbies 2	西班牙	xī bān yá	Spain	Spain
Hobbies 2	因	yīn	cause	cause / reason / because
Hobbies 2	所	suǒ	actually	actually / place / classifier for houses, small buildings, institutions etc / that which / particle introducing a relative clause or passive / CL: 個｜个
Hobbies 2	以	yǐ	to use	abbr. for Israel 以色列 || to use / by means of / according to / in order to / because of / at (a certain date or place)
Hobbies 2	牙	yá	tooth	tooth / ivory / CL: 顆｜颗
Hobbies 2	旅游	lǚ yóu	to travel	trip / journey / tourism / travel / tour / to travel
Hobbies 2	爱好	ài hào	hobby	to like / to take pleasure in / keen on / fond of / interest / hobby / appetite for / CL: 個｜个
Hobbies 2	西班牙语	xī bān yá yǔ	Spanish language	Spanish language
Hobbies 2	轻松	qīng sōng	relaxed	light / gentle / relaxed / effortless / uncomplicated / to relax / to take things less seriously
Hobbies 2	旅	lǚ	trip	trip / travel / to travel / brigade (army)
Hobbies 2	轻	qīng	light	light / easy / gentle / soft / reckless / unimportant / frivolous / small in number / unstressed / neutral / to disparage
Hobbies 2	松	sōng	loose	surname Song || pine / CL: 棵 || loose / to loosen / to relax
Hobbies 2	照相机	zhào xiàng jī	camera	camera / CL: 個｜个, 架, 部, 台, 隻｜只
Hobbies 2	印度	yìn dù	India	India
Hobbies 2	拍照	pāi zhào	to take a picture	to take a picture
Hobbies 2	拍	pāi	to pat	to pat / to clap / to slap / to swat / to take (a photo) / to shoot (a film) / racket (sports) / beat (music)
Hobbies 2	照	zhào	Photo	according to / in accordance with / to shine / to illuminate / to reflect / to look at (one's reflection) / to take (a photo) / photo / as requested / as before
Hobbies 2	印	yìn	to print	surname Yin / abbr. for 印度 || to print / to mark / to engrave / a seal / a print / a stamp / a mark / a trace / image
Hobbies 2	相	xiāng	each other	surname Xiang || each other / one another / mutually || appearance / portrait / picture / government minister / (physics) phase / (literary) to appraise (esp. by scrutinizing physical features) / to read sb's fortune (by physiognomy, palmistry etc)
Hobbies 2	度	dù	degree (temperature or intensity)	to pass / to spend (time) / measure / limit / extent / degree of intensity / degree (angles, temperature etc) / kilowatt-hour / classifier for events and occurrences || to estimate / Taiwan pr. [duo4]
Dining 1	海	hǎi	ocean	surname Hai || ocean / sea / CL: 個｜个, 片 / great number of people or things / (dialect) numerous
Dining 1	本	běn	classifier for books and print media	root / stem / origin / source / this / the current / original / inherent / originally / classifier for books, periodicals, files etc
Dining 1	还	huán	also	surname Huan || still / still in progress / still more / yet / even more / in addition / fairly / passably (good) / as early as / even / also / else || to pay back / to return
Dining 1	上海	shàng hǎi	Shanghai	Shanghai municipality, central east China, abbr. to 滬｜沪
Dining 1	还是	hái shi	or	or / still / nevertheless / had better
Dining 1	日本	rì běn	Japan	Japan / Japanese
Dining 1	肉	ròu	meat	meat / flesh / pulp (of a fruit) / (coll.) (of a fruit) squashy / (of a person) flabby / irresolute
Dining 1	米饭	mǐ fàn	rice (cooked)	(cooked) rice
Dining 1	面条	miàn tiáo	noodles	noodles
Dining 1	鸡肉	jī ròu	chicken meat	chicken meat
Dining 1	牛肉	niú ròu	beef meat	beef
Dining 1	猪肉	zhū ròu	pork meat	pork
Dining 1	羊肉	yáng ròu	lamb meat	mutton / goat meat
Dining 1	饮料	yǐn liào	drink	drink / beverage
Dining 1	猪	zhū	pig	hog / pig / swine / CL: 口, 頭｜头
Dining 1	羊	yáng	sheep	surname Yang || sheep / goat / CL: 頭｜头, 隻｜只
Dining 1	饮	yǐn	to drink	to drink || to give (animals) water to drink
Dining 1	料	liào	material	material / stuff / grain / feed / to expect / to anticipate / to guess
Health 1	作	zuō	worker	worker / workshop / (slang) troublesome / high-maintenance (person) || to do / to grow / to write or compose / to pretend / to regard as / to feel / writings or works
Health 1	工	gōng	work	work / worker / skill / profession / trade / craft / labor
Health 1	累	lěi	tired	to accumulate / to involve or implicate (Taiwan pr. [lei4]) / continuous / repeated || tired / weary / to strain / to wear out / to work hard || surname Lei || rope / to bind together / to twist around
Health 1	工作	gōng zuò	to work	to work / (of a machine) to operate / job / work / task / CL: 個｜个, 份, 項｜项
Health 1	觉得	jué de	to think	to think / to feel
Health 1	有点儿	yǒu diǎnr	slightly	slightly / a little / somewhat
Health 1	胖	pán	fat	healthy / at ease || fat / plump
Health 1	健康	jiàn kāng	health	health / healthy
Health 1	不要	bù yào	do not	don't! / must not
Health 1	健	jiàn	healthy	healthy / to invigorate / to strengthen / to be good at / to be strong in
Health 1	康	kāng	healthy	surname Kang || healthy / peaceful / abundant
Health 1	身体	shēn tǐ	the body	the body / one's health / CL: 具, 個｜个 / in person
Health 1	注意	zhù yì	to take note of	to take note of / to pay attention to
Health 1	身	shēn	body	body / life / oneself / personally / one's morality and conduct / the main part of a structure or body / pregnant / classifier for sets of clothes: suit, twinset / Kangxi radical 158
Health 1	注	zhù	to note	to inject / to pour into / to concentrate / to pay attention / stake (gambling) / classifier for sums of money / variant of 註｜注 || to register / to annotate / note / comment
Health 1	意	yì	meaning	Italy / Italian / abbr. for 意大利 || idea / meaning / thought / to think / wish / desire / intention / to expect / to anticipate
Health 1	开始	kāi shǐ	to begin	to begin / beginning / to start / initial / CL: 個｜个
Health 1	锻炼	duàn liàn	to work out	to toughen / to temper / to engage in physical exercise / to work out / (fig.) to develop one's skills / to train oneself
Health 1	开	kāi	to open	to open / to start / to turn on / to boil / to write out (a prescription, check, invoice etc) / to operate (a vehicle) / carat (gold) / abbr. for Kelvin, 開爾文｜开尔文 / abbr. for 開本｜开本, book format
Health 1	锻	duàn	to forge	to forge / to discipline / wrought
Health 1	始	shǐ	beginning	to begin / to start / then / only then
Health 1	炼	liàn	to refine	to refine / to smelt
Transportation	铁	tiě	iron (metal)	surname Tie || iron (metal) / arms / weapons / hard / strong / violent / unshakeable / determined / close / tight (slang)
Transportation	店	diàn	inn	inn / shop / store / CL: 家
Transportation	地	de	ground	-ly / structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct || earth / ground / field / place / land / CL: 片
Transportation	酒	jiǔ	alcohol	wine (esp. rice wine) / liquor / spirits / alcoholic beverage / CL: 杯, 瓶, 罐, 桶, 缸
Transportation	酒店	jiǔ diàn	hotel	wine shop / pub (public house) / hotel / restaurant / (Tw) hostess club
Transportation	地铁	dì tiě	subway	subway / metro
Transportation	不准	bù zhǔn	to not allow	not to allow / to forbid / to prohibit
Transportation	准	zhǔn	to allow	to allow / to grant / in accordance with / in the light of || accurate / standard / definitely / certainly / about to become (bride, son-in-law etc) / quasi- / para-
Transportation	出租车	chū zū chē	taxi	taxi / (Taiwan) rental car
Transportation	站	zhàn	A station, stand, or stop	station / to stand / to halt / to stop / branch of a company or organization / website
Transportation	车	chē	car	surname Che || car / vehicle / CL: 輛｜辆 / machine / to shape with a lathe || war chariot (archaic) / rook (in Chinese chess) / rook (in chess)
Transportation	出	chū	to go out	to go out / to come out / to occur / to produce / to go beyond / to rise / to put forth / to happen / (used after a verb to indicate an outward direction or a positive result) / classifier for dramas, plays, operas etc
Transportation	租	zū	to hire	to hire / to rent / to charter / to rent out / to lease out / rent / land tax
Transportation	可以	kě yǐ	can	can / may / possible / able to / not bad / pretty good
Transportation	汽车	qì chē	car	car / automobile / bus / CL: 輛｜辆
Transportation	公共	gōng gòng	public	public / common / communal
Transportation	船	chuán	boat	boat / vessel / ship / CL: 條｜条, 艘, 隻｜只
Transportation	公	gōng	public	public / collectively owned / common / international (e.g. high seas, metric system, calendar) / make public / fair / just / Duke, highest of five orders of nobility 五等爵位 / honorable (gentlemen) / father-in-law / male (animal)
Transportation	汽	qì	steam	steam / vapor
Shopping 1	件	jiàn	matter	item / component / classifier for events, things, clothes etc
Shopping 1	衣	yī	clothes	clothes / CL: 件 || to dress / to wear / to put on (clothes)
Shopping 1	商	shāng	business	Shang Dynasty (c. 1600-1046 BC) / surname Shang || commerce / merchant / dealer / to consult / 2nd note in pentatonic scale / quotient (as in 智商, intelligence quotient)
Shopping 1	商店	shāng diàn	store	store / shop / CL: 家, 個｜个
Shopping 1	衣服	yī fu	clothes	clothes / CL: 件, 套
Shopping 1	门	mén	door	surname Men || gate / door / CL: 扇 / gateway / doorway / CL: 個｜个 / opening / valve / switch / way to do something / knack / family / house / (religious) sect / school (of thought) / class / category / phylum or division (taxonomy) / classifier for large guns / classifier for lessons, subjects, branches of technology / (suffix) -gate (i.e. scandal; derived from Watergate)
Shopping 1	欢迎	huān yíng	to welcome	to welcome / welcome
Shopping 1	迎	yíng	to welcome	to welcome / to meet / to face / to forge ahead (esp. in the face of difficulties)
Shopping 1	您	nín	you (courteous, as opposed to informal 你)	you (courteous, as opposed to informal 你)
Shopping 1	帮忙	bāng máng	to help	to help / to lend a hand / to do a favor / to do a good turn
Shopping 1	需要	xū yào	to need	to need / to want / to demand / to require / requirement / need
Shopping 1	需	xū	to require	to require / to need / to want / necessity / need
Shopping 1	随便	suí biàn	casual	as one wishes / as one pleases / at random / negligent / casual / wanton
Shopping 1	随	suí	to follow	surname Sui || to follow / to comply with / varying according to... / to allow / subsequently
Languages	读	dòu	GT: read	comma / phrase marked by pause || to read / to study / reading of word (i.e. pronunciation), similar to 拼音
Languages	意思	yì si	GT: meaning	idea / opinion / meaning / wish / desire / interest / fun / token of appreciation, affection etc / CL: 個｜个 / to give as a small token / to do sth as a gesture of goodwill etc
Languages	写	xiě	GT: write	to write
Languages	难	nán	GT: difficult	difficult (to...) / problem / difficulty / difficult / not good || disaster / distress / to scold
Languages	思	sī	GT: think	to think / to consider
Time 3	秒	miǎo	GT: second	second (unit of time) / arc second (angular measurement unit) / (coll.) instantly
Time 3	刻	kè	GT: engraved	quarter (hour) / moment / to carve / to engrave / to cut / oppressive / classifier for short time intervals
Time 3	差	chā	GT: difference	difference / discrepancy / to differ / error / to err / to make a mistake || to differ from / to fall short of / lacking / wrong / inferior || to send / to commission / messenger / mission
Time 3	小时	xiǎo shí	GT: hour	hour / CL: 個｜个
Time 3	分钟	fēn zhōng	GT: minute	minute
Time 3	小	xiǎo	GT: small	small / tiny / few / young
Time 3	时	shí	GT: Time	surname Shi || o'clock / time / when / hour / season / period
Time 3	钟	zhōng	GT: bell	surname Zhong || handleless cup / goblet / to concentrate / variant of 鐘｜钟 || clock / o'clock / time as measured in hours and minutes / bell / CL: 架, 座
Time 3	整	zhěng	GT: whole	exactly / in good order / whole / complete / entire / in order / orderly / to repair / to mend / to renovate / (coll.) to fix sb / to give sb a hard time / to mess with sb
Dining 2	杯	bēi	GT: cup	cup / trophy cup / classifier for certain containers of liquids: glass, cup
Dining 2	啤	pí	GT: beer	beer
Dining 2	德	dé	GT: Morality	Germany / German / abbr. for 德國｜德国 || virtue / goodness / morality / ethics / kindness / favor / character / kind
Dining 2	德国	dé guó	GT: Germany	Germany / German
Dining 2	啤酒	pí jiǔ	GT: beer	beer (loanword) / CL: 杯, 瓶, 罐, 桶, 缸
Dining 2	果汁	guǒ zhī	GT: fruit juice	fruit juice
Dining 2	汁	zhī	GT: juice	juice
Dining 2	香蕉	xiāng jiāo	GT: banana	banana / CL: 枝, 根, 個｜个, 把
Dining 2	蛋糕	dàn gāo	GT: cake	cake / CL: 塊｜块, 個｜个
Dining 2	蕉	jiāo	GT: banana	banana || see 蕉萃
Dining 2	糕	gāo	GT: cake	cake
Dining 2	碗	wǎn	GT: bowl	bowl / cup / CL: 隻｜只, 個｜个
Dining 2	杯子	bēi zi	GT: cup	cup / glass / CL: 個｜个, 隻｜只
Dining 2	盘子	pán zi	GT: plate	tray / plate / dish / CL: 個｜个
Dining 2	盘	pán	GT: plate	plate / dish / tray / board / hard drive (computing) / to build / to coil / to check / to examine / to transfer (property) / to make over / classifier for food: dish, helping / to coil / classifier for coils of wire / classifier for games of chess
Dining 2	筷子	kuài zi	GT: chopsticks	chopsticks / CL: 對｜对, 根, 把, 雙｜双
Dining 2	刀	dāo	GT: Knife	surname Dao || knife / blade / single-edged sword / cutlass / CL: 把 / (slang) dollar (loanword) / classifier for sets of one hundred sheets (of paper) / classifier for knife cuts or stabs
Dining 2	叉	chā	GT: cross	fork / pitchfork / prong / pick / cross / intersect / 'X' || to cross / be stuck || to diverge / to open (as legs)
Dining 2	筷	kuài	GT: chopsticks	chopstick
Dining 2	勺子	sháo zi	GT: Spoon	scoop / ladle / CL: 把
Dining 2	勺	sháo	GT: Spoon	spoon / ladle / CL: 把 / abbr. for 公勺, centiliter (unit of volume)
Existence	室	shì	GT: room	surname Shi || room / work unit / grave / scabbard / family or clan / one of the 28 constellations of Chinese astronomy
Existence	办	bàn	GT: do	to do / to manage / to handle / to go about / to run / to set up / to deal with
Existence	辆	liàng	GT: Vehicles	classifier for vehicles
Existence	办公室	bàn gōng shì	GT: office	office / business premises / bureau / CL: 間｜间
Existence	瓶子	píng zi	GT: bottle	bottle / CL: 個｜个
Existence	照片	zhào piàn	GT: photo	photograph / picture / CL: 張｜张, 套, 幅
Existence	瓶	píng	GT: bottle	bottle / vase / pitcher / CL: 個｜个 / classifier for wine and liquids
Existence	片	piān	GT: sheet	disk / sheet || thin piece / flake / a slice / film / TV play / to slice / to carve thin / partial / incomplete / one-sided / classifier for slices, tablets, tract of land, area of water / classifier for CDs, movies, DVDs etc / used with numeral 一: classifier for scenario, scene, feeling, atmosphere, sound etc
Existence	鸟	niǎo	GT: bird	bird / CL: 隻｜只, 群 / (dialect) to pay attention to / (intensifier) damned / goddam
